차량ID,연비,연료타입,차급,외형,엔진,가격,이미지,출력,URL
 2020 기아 뉴 레이,12.7 ~ 13.0km/ℓ,가솔린,경형,RV,FF,1570,http://file.carisyou.com/upload/2017/12/13/FILE_201712130337109730.png,78마력,https://www.carisyou.com/car/6224/Spec
 2020 애스턴마틴 DBX,6.9km/ℓ,가솔린,대형,SUV,4WD,24800,http://file.carisyou.com/upload/2019/11/22/FILE_201911221054255300.png,550마력,https://www.carisyou.com/car/6220/Spec
 2020 기아 K5 하이브리드(DL3),19.1 ~ 20.1km/ℓ,가솔린/하이브리드,중형,세단,FF,3335,http://file.carisyou.com/upload/2019/11/12/FILE_201911121000034170.png,152마력,https://www.carisyou.com/car/6219/Spec
 2019 아우디 A4(5세대),12.5km/ℓ,가솔린,준중형,세단,FF,5000,http://file.carisyou.com/upload/2018/07/02/FILE_201807020313003460.png,190마력,https://www.carisyou.com/car/6218/Spec
 2020 푸조 5008(2세대),12.9 ~ 14.0km/ℓ,디젤,중형,SUV,FF,5540,http://file.carisyou.com/upload/2017/11/21/FILE_201711211051515570.png,130마력,https://www.carisyou.com/car/6217/Spec
 2020 푸조 508(2세대),13.3 ~ 14.6km/ℓ,디젤,중형,"세단,왜건외형전체>",FF,5240,http://file.carisyou.com/upload/2019/01/21/FILE_201901210520499880.png,130마력,https://www.carisyou.com/car/6216/Spec
 2019 볼보 XC90(2세대),8.8 ~ 10.9km/ℓ,"가솔린,가솔린/하이브리드,디젤",준대형,SUV,4WD,13780,http://file.carisyou.com/upload/2018/03/26/FILE_201803260423526450.png,235마력,https://www.carisyou.com/car/6215/Spec
 2020 볼보 XC40,10.3km/ℓ,가솔린,준중형,SUV,4WD,4937,http://file.carisyou.com/upload/2017/09/28/FILE_201709280535250690.png,190마력,https://www.carisyou.com/car/6214/Spec
 2020 볼보 V60 크로스 컨트리(2세대),10.1km/ℓ,가솔린,준중형,왜건,4WD,5747,http://file.carisyou.com/upload/2018/10/19/FILE_201810190138538970.png,254마력,https://www.carisyou.com/car/6213/Spec
 2020 볼보 S90,11.0km/ℓ,가솔린,준대형,세단,FF,6447,http://file.carisyou.com/upload/2018/06/05/FILE_201806050422050990.png,254마력,https://www.carisyou.com/car/6212/Spec
 2018 볼보 S90,11.0 ~ 14.0km/ℓ,"가솔린,디젤",준대형,세단,FF,7490,http://file.carisyou.com/newcar/color/5174_volvo_s902016_100.png,190마력,https://www.carisyou.com/car/6211/Spec
 2020 페라리 로마,"-
									
									
								
								
							
							
						",가솔린,준중형,쿠페,FR,32000,http://file.carisyou.com/upload/2019/11/19/FILE_201911191057168110.png,620마력,https://www.carisyou.com/car/6209/Spec
 2020 볼보 V90 크로스 컨트리,10.9 ~ 12.6km/ℓ,"가솔린,디젤",중형,왜건,4WD,7547,http://file.carisyou.com/upload/2018/03/19/FILE_201803191053083850.png,254마력,https://www.carisyou.com/car/6208/Spec
 2019 볼보 V90 크로스 컨트리,10.9 ~ 12.6km/ℓ,"가솔린,디젤",중형,왜건,4WD,7690,http://file.carisyou.com/upload/2018/03/19/FILE_201803191053083850.png,254마력,https://www.carisyou.com/car/6207/Spec
 2019 벤틀리 벤테이가,6.9km/ℓ,가솔린,대형,SUV,4WD,27800,http://file.carisyou.com/upload/2018/04/20/FILE_201804200534278250.png,550마력,https://www.carisyou.com/car/6206/Spec
 2020 기아 K5(DL3),9.8 ~ 13.8km/ℓ,"가솔린,엘피지",중형,세단,FF,3141,http://file.carisyou.com/upload/2019/12/23/FILE_201912231047361770.png,160마력,https://www.carisyou.com/car/6205/Spec
 2020 BMW X3(3세대),8.7 ~ 13.6km/ℓ,"가솔린,가솔린/하이브리드,디젤",준중형,SUV,4WD,8910,http://file.carisyou.com/upload/2019/06/13/FILE_201906131136548780.png,184마력,https://www.carisyou.com/car/6204/Spec
 2020 롤스로이스 컬리넌,5.6km/ℓ,가솔린,대형,SUV,4WD,53900,http://file.carisyou.com/upload/2018/05/11/FILE_201805111106074850.png,571마력,https://www.carisyou.com/car/6203/Spec
 2021 페라리 SF90 스트라달레,"-
									
									
								
								
							
							
						",가솔린/하이브리드,중형,쿠페,4WD,64000,http://file.carisyou.com/upload/2019/11/07/FILE_201911070553199060.png,780마력,https://www.carisyou.com/car/6202/Spec
 2019 아우디 A3(3세대),11.7km/ℓ,가솔린,준중형,세단,FF,4040,http://file.carisyou.com/upload/2018/07/26/FILE_201807260441585830.png,186마력,https://www.carisyou.com/car/6201/Spec
 2020 BMW 2시리즈(2세대),10.4 ~ 13.9km/ℓ,"가솔린,디젤",준중형,세단,FF,6180,http://file.carisyou.com/upload/2019/11/04/FILE_201911040330378920.png,190마력,https://www.carisyou.com/car/6200/Spec
 2020 현대 뉴 그랜저 하이브리드(IG),15.2 ~ 16.2km/ℓ,가솔린/하이브리드,준대형,세단,FF,4489,http://file.carisyou.com/upload/2019/11/27/FILE_201911270320073070.png,159마력,https://www.carisyou.com/car/6199/Spec
 2020 현대 뉴 그랜저(IG),7.4 ~ 11.9km/ℓ,"가솔린,엘피지",준대형,세단,FF,4353,http://file.carisyou.com/upload/2019/11/27/FILE_201911271026508860.png,198마력,https://www.carisyou.com/car/6198/Spec
 2020 르노코리아 조에,4.8km/kwh,전기,소형,해치백,2WD,4295,http://file.carisyou.com/upload/2019/10/24/FILE_201910240423404600.png,136마력,https://www.carisyou.com/car/6196/Spec
 2020 미니 미니 클럽맨(2세대),10.0 ~ 14.1km/ℓ,"가솔린,디젤",소형,해치백,FF,5770,http://file.carisyou.com/upload/2019/10/23/FILE_201910231034094120.png,136마력,https://www.carisyou.com/car/6194/Spec
 2020 제네시스 G70,9.0 ~ 15.2km/ℓ,"가솔린,디젤",준중형,세단,FR,5375,http://file.carisyou.com/upload/2018/10/17/FILE_201810171016439850.png,252마력,https://www.carisyou.com/car/6192/Spec
 2020 현대 뉴 투싼,10.4 ~ 16.3km/ℓ,"가솔린,디젤",준중형,SUV,FF,3293,http://file.carisyou.com/upload/2020/01/28/FILE_202001280138487120.png,177마력,https://www.carisyou.com/car/6191/Spec
 2020 쎄보모빌리티 쎄보-C,6.4km/kwh,전기,경형,해치백,2WD,1450,http://file.carisyou.com/upload/2019/10/10/FILE_201910100933326590.png,-마력,https://www.carisyou.com/car/6190/Spec
 2020 BMW M8(2세대),7.3 ~ 7.6km/ℓ,가솔린,준대형,"세단,쿠페외형전체>",4WD,23970,http://file.carisyou.com/upload/2019/10/02/FILE_201910020354195000.png,625마력,https://www.carisyou.com/car/6189/Spec
 2020 아우디 Q7(2세대),10.2 ~ 10.5km/ℓ,"가솔린,디젤",대형,SUV,4WD,1993,http://file.carisyou.com/upload/2019/09/30/FILE_201909301232489000.png,345마력,https://www.carisyou.com/car/6188/Spec
 2020 볼보 XC90(2세대),9.3 ~ 10.9km/ℓ,"가솔린,가솔린/하이브리드,디젤",준대형,SUV,4WD,13637,http://file.carisyou.com/upload/2019/09/26/FILE_201909261013329930.png,235마력,https://www.carisyou.com/car/6187/Spec
 2019 BMW 1시리즈(2세대),13.9km/ℓ,디젤,준중형,해치백,FR,4250,http://file.carisyou.com/newcar/color/5255_bmw_new1series2016_100.png,150마력,https://www.carisyou.com/car/6185/Spec
 2018 BMW 1시리즈(2세대),17.4km/ℓ,디젤,준중형,해치백,FR,4410,http://file.carisyou.com/newcar/color/5255_bmw_new1series2016_100.png,150마력,https://www.carisyou.com/car/6184/Spec
 2017 BMW 1시리즈(2세대),17.4km/ℓ,디젤,준중형,해치백,FR,4040,http://file.carisyou.com/newcar/color/5255_bmw_new1series2016_100.png,150마력,https://www.carisyou.com/car/6183/Spec
 2020 한국지엠 뉴 라보,8.7km/ℓ,엘피지,경형,트럭,FR,1113,http://file.carisyou.com/upload/2019/09/23/FILE_201909231007436160.png,43마력,https://www.carisyou.com/car/6182/Spec
 2020 한국지엠 뉴 다마스,8.8km/ℓ,엘피지,경형,버스,FR,1028,http://file.carisyou.com/upload/2019/09/20/FILE_201909200537313240.png,43마력,https://www.carisyou.com/car/6181/Spec
 2019 닛산 맥시마(8세대),9.4km/ℓ,가솔린,중형,세단,FF,4520,http://file.carisyou.com/upload/2019/09/17/FILE_201909170554196130.png,303마력,https://www.carisyou.com/car/6179/Spec
 2020 랜드로버 디펜더,9.1 ~ 9.6km/ℓ,"가솔린,디젤",대형,SUV,4WD,9560,http://file.carisyou.com/upload/2019/09/11/FILE_201909111024383750.png,300마력,https://www.carisyou.com/car/6177/Spec
 2020 페라리 812 GTS,5.3km/ℓ,가솔린,중형,컨버터블,FR,51500,http://file.carisyou.com/upload/2019/09/10/FILE_201909100425158280.png,800마력,https://www.carisyou.com/car/6175/Spec
 2020 페라리 F8 스파이더,6.4km/ℓ,가솔린,준중형,컨버터블,MR,39700,http://file.carisyou.com/upload/2019/09/09/FILE_201909091114186340.png,720마력,https://www.carisyou.com/car/6173/Spec
 2019 벤츠 SLC(3세대),10.7km/ℓ,가솔린,소형,컨버터블,FR,6680,http://file.carisyou.com/upload/2017/03/02/FILE_201703020517176590.png,211마력,https://www.carisyou.com/car/6171/Spec
 2020 기아 봉고3 트럭,6.5 ~ 9.9km/ℓ,"디젤,엘피지",소형,트럭,FR,3390,http://file.carisyou.com/upload/2018/10/29/FILE_201810291030430740.png,159마력,https://www.carisyou.com/car/6170/Spec
 2021 포르쉐 타이칸,2.8 ~ 3.0km/kwh,전기,준대형,"세단,왜건외형전체>",2WD,23360,http://file.carisyou.com/upload/2021/11/18/FILE_202111180506182220.png,408마력,https://www.carisyou.com/car/6169/Spec
 2020 기아 뉴 카니발(YP),7.6 ~ 11.4km/ℓ,"가솔린,디젤",대형,RV,FF,6007,http://file.carisyou.com/upload/2018/03/13/FILE_201803131020044290.png,202마력,https://www.carisyou.com/car/6167/Spec
 2020 KGM 렉스턴 스포츠 칸,10.0 ~ 10.3km/ℓ,디젤,대형,픽업트럭,FR,3690,http://file.carisyou.com/upload/2019/01/03/FILE_201901031042401360.png,187마력,https://www.carisyou.com/car/6166/Spec
 2020 KGM 렉스턴 스포츠,10.1 ~ 11.3km/ℓ,디젤,대형,픽업트럭,FR,3440,http://file.carisyou.com/upload/2018/09/19/FILE_201809191107025260.png,181마력,https://www.carisyou.com/car/6164/Spec
 2020 KGM G4 렉스턴,10.1 ~ 10.5km/ℓ,디젤,중형,SUV,FR,4609,http://file.carisyou.com/upload/2018/09/19/FILE_201809191056299750.png,187마력,https://www.carisyou.com/car/6163/Spec
 2020 폭스바겐 티구안(2세대),13.1 ~ 14.5km/ℓ,"가솔린,디젤",준중형,SUV,FF,4901,http://file.carisyou.com/upload/2018/04/18/FILE_201804180113075480.png,150마력,https://www.carisyou.com/car/6161/Spec
 2020 현대 포터2,8.5 ~ 9.9km/ℓ,디젤,소형,트럭,FR,3246,http://file.carisyou.com/upload/2018/09/19/FILE_201809191103077550.png,133마력,https://www.carisyou.com/car/6159/Spec
 2020 현대 뉴 그랜드 스타렉스,5.7 ~ 11.0km/ℓ,"디젤,엘피지",소형,버스,FR,6609,http://file.carisyou.com/upload/2018/10/04/FILE_201810040121372110.png,140마력,https://www.carisyou.com/car/6158/Spec
 2020 기아 스포티지 더 볼드,10.5 ~ 16.3km/ℓ,"가솔린,디젤",준중형,SUV,FF,3172,http://file.carisyou.com/upload/2018/07/31/FILE_201807311010477040.png,152마력,https://www.carisyou.com/car/6156/Spec
 2020 기아 모하비 더 마스터,9.3 ~ 9.4km/ℓ,디젤,준대형,SUV,4WD,5212,http://file.carisyou.com/upload/2019/10/10/FILE_201910100551420760.png,260마력,https://www.carisyou.com/car/6155/Spec
 2020 아우디 SQ8,8.5km/ℓ,디젤,대형,SUV,4WD,13699,http://file.carisyou.com/upload/2019/08/12/FILE_201908120520294000.png,435마력,https://www.carisyou.com/car/6154/Spec
 2020 현대 코나 하이브리드,17.4 ~ 19.3km/ℓ,가솔린/하이브리드,소형,SUV,FF,2611,http://file.carisyou.com/upload/2019/08/07/FILE_201908070332510960.png,105마력,https://www.carisyou.com/car/6153/Spec
 2020 현대 코나,11.1 ~ 17.5km/ℓ,"가솔린,디젤",소형,SUV,FF,2624,http://file.carisyou.com/upload/2017/06/27/FILE_201706270411049830.png,177마력,https://www.carisyou.com/car/6152/Spec
 2019 인피니티 Q50,12.0km/ℓ,가솔린/하이브리드,중형,세단,FR,6260,http://file.carisyou.com/upload/2017/09/13/FILE_201709130749566520.png,306마력,https://www.carisyou.com/car/6151/Spec
 2019 BMW M5(6세대),8.1km/ℓ,가솔린,중형,세단,4WD,14850,http://file.carisyou.com/upload/2017/12/27/FILE_201712271132150310.png,608마력,https://www.carisyou.com/car/6150/Spec
 2019 BMW M4(1세대),8.9 ~ 9.7km/ℓ,가솔린,준중형,"컨버터블,쿠페외형전체>",FR,14740,http://file.carisyou.com/upload/2017/07/28/FILE_201707280236465970.png,450마력,https://www.carisyou.com/car/6149/Spec
 2019 BMW X6(2세대),8.9 ~ 10.0km/ℓ,디젤,중형,SUV,4WD,14310,http://file.carisyou.com/upload/2018/11/21/FILE_201811210130360050.png,258마력,https://www.carisyou.com/car/6148/Spec
 2007 포드 머스탱(5세대),8.7km/ℓ,가솔린,중형,"컨버터블,쿠페외형전체>",FR,4400,http://file.carisyou.com/newcar/color/2647_ford_mustang2006_0.jpg,196마력,https://www.carisyou.com/car/6143/Spec
 2020 아우디 Q3(2세대),14.3 ~ 14.7km/ℓ,디젤,준중형,SUV,FF,5490,http://file.carisyou.com/upload/2019/07/25/FILE_201907250102268450.png,150마력,https://www.carisyou.com/car/6142/Spec
 2019 아우디 A5(2세대),10.1 ~ 10.3km/ℓ,가솔린,준중형,"컨버터블,쿠페,해치백외형전체>",4WD,7268,http://file.carisyou.com/upload/2019/07/25/FILE_201907251002135260.png,252마력,https://www.carisyou.com/car/6141/Spec
 2019 BMW 5시리즈(7세대),10.2 ~ 13.9km/ℓ,"가솔린,디젤",중형,세단,FR,12230,http://file.carisyou.com/upload/2019/07/29/FILE_201907290310458950.png,184마력,https://www.carisyou.com/car/6139/Spec
 2019 BMW 4시리즈(1세대),11.1 ~ 13.7km/ℓ,"가솔린,디젤",준중형,"컨버터블,쿠페,해치백외형전체>",FR,8420,http://file.carisyou.com/upload/2017/04/21/FILE_201704210334233740.png,184마력,https://www.carisyou.com/car/6138/Spec
 2019 BMW 3시리즈 그란 투리스모(6세대),12.1 ~ 13.0km/ℓ,디젤,중형,해치백,FR,6540,http://file.carisyou.com/upload/2017/12/20/FILE_201712201009025400.png,190마력,https://www.carisyou.com/car/6137/Spec
 2019 미니 미니 클럽맨(2세대),10.9 ~ 14.7km/ℓ,"가솔린,디젤",소형,해치백,FF,5520,http://file.carisyou.com/upload/2017/10/12/FILE_201710120343012950.png,136마력,https://www.carisyou.com/car/6136/Spec
 2018 미니 미니 클럽맨(2세대),10.9 ~ 15.3km/ℓ,"가솔린,디젤",소형,해치백,FF,5500,http://file.carisyou.com/upload/2017/10/12/FILE_201710120343012950.png,136마력,https://www.carisyou.com/car/6135/Spec
 2019 아우디 Q7(2세대),8.6km/ℓ,가솔린,대형,SUV,4WD,7990,http://file.carisyou.com/upload/2019/07/16/FILE_201907160937012020.png,252마력,https://www.carisyou.com/car/6134/Spec
 2020 르노코리아 SM6,9.0 ~ 12.3km/ℓ,"가솔린,엘피지",중형,세단,FF,3431,http://file.carisyou.com/upload/2018/09/19/FILE_201809191040115830.png,140마력,https://www.carisyou.com/car/6133/Spec
 2020 포르쉐 718 박스터(3세대),8.9 ~ 9.4km/ℓ,가솔린,준중형,컨버터블,MR,11560,http://file.carisyou.com/upload/2017/10/20/FILE_201710201110336690.png,420마력,https://www.carisyou.com/car/6132/Spec
 2020 포르쉐 718 카이맨(2세대),8.9 ~ 9.4km/ℓ,가솔린,준중형,쿠페,MR,12220,http://file.carisyou.com/upload/2022/11/08/FILE_202211081022549300.png,420마력,https://www.carisyou.com/car/6131/Spec
 2019 미니 미니 컨트리맨(2세대),10.2 ~ 13.4km/ℓ,"가솔린,디젤",소형,SUV,FF,5920,http://file.carisyou.com/upload/2019/07/08/FILE_201907081058264540.png,136마력,https://www.carisyou.com/car/6130/Spec
 2018 미니 미니 컨트리맨(2세대),10.2 ~ 13.6km/ℓ,"가솔린,디젤",소형,SUV,FF,5900,http://file.carisyou.com/newcar/color/5383_mini_newminicountryman2017_100.png,136마력,https://www.carisyou.com/car/6129/Spec
 2019 벤츠 GLE(3세대),6.2km/ℓ,가솔린,중형,SUV,4WD,17390,http://file.carisyou.com/upload/2019/07/04/FILE_201907041115306640.png,585마력,https://www.carisyou.com/car/6128/Spec
 2020 BMW X6(3세대),7.0 ~ 10.0km/ℓ,"가솔린,디젤",중형,SUV,4WD,15300,http://file.carisyou.com/upload/2019/07/04/FILE_201907041015276210.png,265마력,https://www.carisyou.com/car/6127/Spec
 2019 벤츠 GLS(2세대),6.7km/ℓ,가솔린,대형,SUV,4WD,15000,http://file.carisyou.com/upload/2019/06/25/FILE_201906250126441790.png,455마력,https://www.carisyou.com/car/6126/Spec
 2020 푸조 2008(2세대),"4.3 ~ 17.1km/kwh,km/ℓ","가솔린,디젤,전기",소형,SUV,FF,4890,http://file.carisyou.com/upload/2019/06/19/FILE_201906190305065980.png,130마력,https://www.carisyou.com/car/6125/Spec
 2019 마세라티 콰트로포르테(6세대),6.6 ~ 9.4km/ℓ,"가솔린,디젤",대형,세단,FR,24000,http://file.carisyou.com/upload/2018/01/16/FILE_201801160523359370.png,275마력,https://www.carisyou.com/car/6124/Spec
 2019 마세라티 기블리,7.4 ~ 10.0km/ℓ,"가솔린,디젤",준대형,세단,FR,14700,http://file.carisyou.com/upload/2017/10/12/FILE_201710120537281220.png,275마력,https://www.carisyou.com/car/6123/Spec
 2020 르노코리아 뉴 QM6,8.6 ~ 14.4km/ℓ,"가솔린,디젤,엘피지",중형,SUV,FF,3859,http://file.carisyou.com/upload/2019/06/17/FILE_201906170936586830.png,140마력,https://www.carisyou.com/car/6122/Spec
 2019 포드 익스플로러(5세대),7.6 ~ 7.9km/ℓ,가솔린,대형,SUV,4WD,5710,http://file.carisyou.com/upload/2018/01/15/FILE_201801150233157510.png,294마력,https://www.carisyou.com/car/6121/Spec
 2019 캐딜락 XT5,8.7km/ℓ,가솔린,중형,SUV,4WD,7337,http://file.carisyou.com/upload/2018/03/13/FILE_201803130407249740.PNG,314마력,https://www.carisyou.com/car/6120/Spec
 2019 BMW X3(3세대),11.3 ~ 12.1km/ℓ,디젤,준중형,SUV,4WD,8390,http://file.carisyou.com/upload/2019/06/13/FILE_201906131136548780.png,190마력,https://www.carisyou.com/car/6119/Spec
 2020 벤틀리 플라잉스퍼(3세대),"-
									
									
								
								
							
							
						",가솔린,대형,세단,AWD,32300,http://file.carisyou.com/upload/2019/06/13/FILE_201906130957325640.png,550마력,https://www.carisyou.com/car/6117/Spec
 2020 기아 K7 프리미어 하이브리드(YG),16.2km/ℓ,가솔린/하이브리드,준대형,세단,FF,4012,http://file.carisyou.com/upload/2019/06/12/FILE_201906120923527190.png,159마력,https://www.carisyou.com/car/6116/Spec
 2020 기아 K7 프리미어(YG),7.3 ~ 14.6km/ℓ,"가솔린,디젤,엘피지",준대형,세단,FF,3799,http://file.carisyou.com/upload/2019/06/12/FILE_201906120923527190.png,235마력,https://www.carisyou.com/car/6115/Spec
 2019 BMW X1(2세대),9.4 ~ 14.4km/ℓ,"가솔린,디젤",준중형,SUV,4WD,5500,http://file.carisyou.com/upload/2019/01/10/FILE_201901101032352850.png,150마력,https://www.carisyou.com/car/6114/Spec
 2019 지프 컴패스(2세대),9.3 ~ 9.6km/ℓ,가솔린,준중형,SUV,FF,4540,http://file.carisyou.com/upload/2018/07/17/FILE_201807171105528520.png,175마력,https://www.carisyou.com/car/6113/Spec
 2019 르노코리아 SM5 아듀,11.2km/ℓ,가솔린,중형,세단,FF,2000,http://file.carisyou.com/upload/2018/09/19/FILE_201809191030561210.png,141마력,https://www.carisyou.com/car/6112/Spec
 2019 대창모터스 다니고3,6.1km/kwh,전기,경형,트럭,2WD,1880,http://file.carisyou.com/upload/2019/06/04/FILE_201906040500262090.png,-마력,https://www.carisyou.com/car/6111/Spec
 2019 토요타 프리우스(4세대),23.5km/ℓ,가솔린/하이브리드,준중형,해치백,FF,3280,http://file.carisyou.com/upload/2019/06/04/FILE_201906040127015720.png,98마력,https://www.carisyou.com/car/6110/Spec
 2019 르노코리아 뉴 QM3,17.4km/ℓ,디젤,소형,SUV,FF,2523,http://file.carisyou.com/upload/2018/09/19/FILE_201809191036103070.png,90마력,https://www.carisyou.com/car/6109/Spec
 2016 아우디 SQ5(1세대),11.9km/ℓ,디젤,중형,SUV,4WD,8690,http://file.carisyou.com/newcar/color/4593_audi_sq52013_100.jpg,313마력,https://www.carisyou.com/car/6105/Spec
 2015 아우디 SQ5(1세대),11.9km/ℓ,디젤,중형,SUV,4WD,8690,http://file.carisyou.com/newcar/color/4593_audi_sq52013_100.jpg,313마력,https://www.carisyou.com/car/6104/Spec
 2016 아우디 Q3(1세대),13.7 ~ 13.9km/ℓ,디젤,준중형,SUV,4WD,5650,http://file.carisyou.com/newcar/color/5051_audi_newq32015_100.png,150마력,https://www.carisyou.com/car/6102/Spec
 2019 기아 셀토스,10.9 ~ 17.6km/ℓ,"가솔린,디젤",소형,SUV,FF,2750,http://file.carisyou.com/upload/2019/07/29/FILE_201907290940292990.png,177마력,https://www.carisyou.com/car/6101/Spec
 2021 쉐보레 트레일블레이저,11.6 ~ 13.2km/ℓ,가솔린,준중형,SUV,FF,2780,http://file.carisyou.com/upload/2020/01/16/FILE_202001160209542690.png,139마력,https://www.carisyou.com/car/6100/Spec
 2020 BMW X1(2세대),9.8 ~ 13.3km/ℓ,"가솔린,디젤",준중형,SUV,4WD,5600,http://file.carisyou.com/upload/2019/05/31/FILE_201905311046466450.png,231마력,https://www.carisyou.com/car/6099/Spec
 2016 아우디 Q5(1세대),11.9 ~ 12.5km/ℓ,디젤,중형,SUV,4WD,7870,http://file.carisyou.com/newcar/color/4889_audi_newq52014_100.png,190마력,https://www.carisyou.com/car/6098/Spec
 2015 아우디 Q5(1세대),11.9 ~ 12.5km/ℓ,디젤,중형,SUV,4WD,8030,http://file.carisyou.com/newcar/color/4889_audi_newq52014_100.png,190마력,https://www.carisyou.com/car/6097/Spec
 2019 재규어 XE,8.7 ~ 13.6km/ℓ,"가솔린,디젤",준중형,세단,FR,7560,http://file.carisyou.com/newcar/color/5336_jaguar_xe2017_0.png,180마력,https://www.carisyou.com/car/6094/Spec
 2019 재규어 XF(2세대),8.3 ~ 12.7km/ℓ,"가솔린,디젤",중형,세단,FR,9457,http://file.carisyou.com/upload/2018/08/17/FILE_201808170444357850.png,180마력,https://www.carisyou.com/car/6093/Spec
 2020 BMW 1시리즈(3세대),14.3km/ℓ,"가솔린,디젤",준중형,해치백,4WD,4800,http://file.carisyou.com/upload/2019/05/27/FILE_201905271129437730.png,190마력,https://www.carisyou.com/car/6092/Spec
 2019 재규어 F-타입,7.5 ~ 9.8km/ℓ,가솔린,준중형,"컨버터블,쿠페외형전체>",FR,22340,http://file.carisyou.com/upload/2017/12/11/FILE_201712110613214380.png,300마력,https://www.carisyou.com/car/6091/Spec
 2019 재규어 E-페이스,9.0 ~ 12.4km/ℓ,"가솔린,디젤",준중형,SUV,4WD,6490,http://file.carisyou.com/upload/2018/04/16/FILE_201804160318133380.png,180마력,https://www.carisyou.com/car/6090/Spec
 2019 랜드로버 레인지로버 스포츠(2세대),6.1 ~ 9.3km/ℓ,"가솔린,디젤",중형,SUV,4WD,19147,http://file.carisyou.com/upload/2018/04/05/FILE_201804050702414510.png,306마력,https://www.carisyou.com/car/6089/Spec
 2019 랜드로버 레인지로버(4세대),5.6 ~ 7.6km/ℓ,"가솔린,디젤",대형,SUV,4WD,31610,http://file.carisyou.com/upload/2018/04/06/FILE_201804060327494090.png,339마력,https://www.carisyou.com/car/6088/Spec
 2020 맥라렌 GT,9.3km/ℓ,가솔린,중형,쿠페,MR,29700,http://file.carisyou.com/upload/2019/05/23/FILE_201905231039192000.png,620마력,https://www.carisyou.com/car/6087/Spec
 2019 랜드로버 디스커버리 스포츠,10.3 ~ 12.1km/ℓ,디젤,준중형,SUV,4WD,7280,http://file.carisyou.com/upload/2019/05/22/FILE_201905220151075170.png,150마력,https://www.carisyou.com/car/6086/Spec
 2019 랜드로버 디스커버리,8.9 ~ 9.7km/ℓ,디젤,중형,SUV,4WD,11110,http://file.carisyou.com/upload/2018/02/05/FILE_201802050255071080.png,240마력,https://www.carisyou.com/car/6085/Spec
 2019 캐딜락 CTS(3세대),9.5 ~ 10.5km/ℓ,가솔린,중형,세단,FR,7088,http://file.carisyou.com/upload/2018/03/13/FILE_201803130247582080.png,276마력,https://www.carisyou.com/car/6084/Spec
 2020 볼보 S60(3세대),10.8km/ℓ,가솔린,준중형,세단,FF,5217,http://file.carisyou.com/upload/2019/05/21/FILE_201905211047110370.png,193마력,https://www.carisyou.com/car/6083/Spec
 2020 KGM 뉴 티볼리,10.2 ~ 14.5km/ℓ,"가솔린,디젤",소형,SUV,FF,2654,http://file.carisyou.com/upload/2019/05/20/FILE_201905200940533730.png,163마력,https://www.carisyou.com/car/6082/Spec
 2019 현대 싼타페(TM),9.0 ~ 13.8km/ℓ,"가솔린,디젤",중형,SUV,FF,4022,http://file.carisyou.com/upload/2018/09/19/FILE_201809191108056470.png,235마력,https://www.carisyou.com/car/6080/Spec
 2020 기아 스팅어,8.8 ~ 15.0km/ℓ,"가솔린,디젤",중형,세단,FR,4982,http://file.carisyou.com/upload/2019/05/08/FILE_201905081137434410.png,255마력,https://www.carisyou.com/car/6078/Spec
 2019 현대 뉴 아반떼(AD),10.6 ~ 17.8km/ℓ,"가솔린,디젤,엘피지",준중형,세단,FF,2454,http://file.carisyou.com/upload/2018/09/19/FILE_201809191030098190.png,123마력,https://www.carisyou.com/car/6077/Spec
 2019 BMW M2,9.0 ~ 9.4km/ℓ,가솔린,준중형,쿠페,FR,7990,http://file.carisyou.com/upload/2019/06/10/FILE_201906100553259740.png,410마력,https://www.carisyou.com/car/6076/Spec
 2019 BMW 6시리즈 그란 투리스모(4세대),9.2 ~ 13.4km/ℓ,"가솔린,디젤",대형,해치백,FR,190,http://file.carisyou.com/upload/2019/07/30/FILE_201907301027160210.png,190마력,https://www.carisyou.com/car/6075/Spec
 2019 BMW i3,5.6km/kwh,전기,소형,해치백,2WD,6560,http://file.carisyou.com/upload/2018/01/04/FILE_201801040444017090.png,-마력,https://www.carisyou.com/car/6074/Spec
 2019 현대 뉴 아이오닉 일렉트릭,6.3km/kwh,전기,준중형,해치백,2WD,4440,http://file.carisyou.com/upload/2019/05/02/FILE_201905020933500900.png,-마력,https://www.carisyou.com/car/6073/Spec
 2019 현대 쏠라티,"-
									
									
								
								
							
							
						",디젤,준중형,버스,FR,6499,http://file.carisyou.com/upload/2019/04/24/FILE_201904240343208140.png,170마력,https://www.carisyou.com/car/6072/Spec
 2018 현대 쏠라티,12.2km/ℓ,디젤,준중형,버스,FR,13930,http://file.carisyou.com/upload/2019/04/24/FILE_201904240343401040.png,170마력,https://www.carisyou.com/car/6071/Spec
 2020 링컨 코세어,9.2km/ℓ,가솔린,준중형,SUV,4WD,5640,http://file.carisyou.com/upload/2020/05/19/FILE_202005190139294250.png,238마력,https://www.carisyou.com/car/6070/Spec
 2019 포드 머스탱(6세대),7.5 ~ 9.4km/ℓ,가솔린,중형,"컨버터블,쿠페외형전체>",FR,6890,https://file.carisyou.com/upload/2018/03/20/FILE_201803200302568300.png,291마력,https://www.carisyou.com/car/6068/Spec
